#{"t_start": 1764713411.490542, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
23.0,3015,2657.570319
41.0,4417,2666.831904
17.0,2681,2672.368408
8.0,1719,2675.831538
34.0,4034,2683.928636
26.0,3872,2691.748669
29.0,3669,2699.096346
37.0,4378,2708.048012
26.0,2175,2712.327676
38.0,4385,2721.340251
17.0,2991,2727.509364
75.0,5743,2739.313201
32.0,4510,2748.390061
13.0,2744,2753.90152
42.0,4371,2762.873079
20.0,2920,2768.7505
38.0,4349,2777.510577
21.0,1933,2781.365447
28.0,3299,2788.000381
23.0,2950,2794.01678
38.0,4657,2803.444181
37.0,4155,2812.025493
18.0,2966,2818.089596
20.0,3048,2824.072186
39.0,4717,2833.498147
55.0,3856,2841.188787
9.0,2028,2845.221335
28.0,3181,2851.579311
53.0,5674,2862.875969
28.0,3203,2869.264503
35.0,3722,2876.632524
20.0,2908,2882.428339
39.0,4459,2891.448096
53.0,5479,2902.51873
31.0,4166,2910.942989
57.0,4616,2920.107932
58.0,4702,2929.519216
20.0,2394,2934.157999
30.0,3423,2940.865328
26.0,3267,2973.155112
36.0,3848,2980.900249
82.0,6324,2993.885658
42.0,4559,3002.948057
37.0,4225,3011.4577
18.0,2114,3015.58618
40.0,4716,3024.978706
21.0,3152,3031.186351
19.0,3012,3037.19476
28.0,3398,3044.100083
32.0,2935,3049.87328
44.0,5096,3059.923744
52.0,6081,3071.838032
44.0,4480,3080.788611
28.0,3221,3087.210086
43.0,4785,3096.441188
22.0,2578,3101.455182
37.0,4333,3110.022622
24.0,3627,3117.166777
20.0,2924,3122.934109
30.0,4011,3130.879399
35.0,3714,3138.12683
72.0,5654,3149.496368
47.0,5121,3159.63418
39.0,3986,3167.457923
18.0,2006,3171.495538
46.0,5581,3182.312613
83.0,5651,3193.298138
31.0,3509,3200.134279
32.0,2518,3204.890607
28.0,3484,3211.560601
46.0,4642,3220.499019
21.0,3145,3226.74213
41.0,4641,3236.050337
14.0,2103,3240.174987
29.0,3623,3247.300377
19.0,3351,3253.703096
46.0,4603,3262.684215
31.0,2494,3267.53427
43.0,4096,3275.548094
34.0,4091,3283.609194
31.0,3089,3289.671057
43.0,4677,3298.818883
20.0,2874,3304.440913
56.0,4336,3312.835161
66.0,5145,3323.229717
15.0,2612,3328.376165
30.0,4058,3336.347322
23.0,3154,3342.342633
15.0,2576,3347.414987
30.0,3137,3353.394497
60.0,5289,3363.714747
40.0,4146,3397.512467
69.0,5415,3408.012633
52.0,4645,3417.008933
36.0,4622,3426.054675
60.0,5734,3437.329724
37.0,3182,3443.514426
39.0,4405,3452.126808
37.0,4751,3461.280208
76.0,6605,3474.170177
45.0,4545,3482.969666
39.0,4627,3491.927804
42.0,5022,3501.863948
57.0,5344,3512.32453
47.0,4779,3521.757112
55.0,5868,3533.429102
55.0,5461,3544.147401
48.0,5002,3553.850877
60.0,5465,3564.704157
45.0,4584,3573.650313
84.0,5711,3584.832195
45.0,4479,3593.636054
56.0,4195,3602.055395
72.0,5285,3612.381855
46.0,3328,3618.802782
64.0,6027,3630.626362
53.0,5423,3641.251736
88.0,6697,3654.456829
77.0,5723,3665.635313
50.0,4082,3673.491148
41.0,4500,3682.240968
31.0,3120,3688.312729
49.0,5005,3698.122093
32.0,4262,3706.59975
45.0,4378,3715.212323
54.0,4924,3724.79537
37.0,3615,3731.794193
12.0,2376,3736.480043
35.0,3987,3744.368406
48.0,5682,3755.616315
65.0,5834,3767.138902
43.0,5256,3777.455249
69.0,5459,3788.139454
35.0,2801,3816.452706
21.0,3053,3822.458295
60.0,5054,3832.311013
44.0,4740,3841.622733
39.0,3879,3849.335615
55.0,5485,3860.160976
40.0,4225,3868.451096
55.0,5039,3878.35229
71.0,6186,3890.676452
47.0,4384,3899.348315
31.0,3655,3906.566911
12.0,2512,3911.361809
19.0,3016,3917.346131
35.0,3949,3925.115973
36.0,3314,3931.560956
29.0,3811,3938.980312
48.0,4852,3948.486019
35.0,4336,3956.859134
43.0,3264,3963.165668
39.0,4394,3971.587339
22.0,3438,3978.279974
42.0,4184,3986.468094
36.0,4025,3994.417485
56.0,5370,4005.126965
22.0,2458,4009.902351
66.0,6076,4021.770763
43.0,4176,4030.034503
46.0,4301,4038.562304
